field,name,ra,dec
1,UW1,118.37877081718757,-1.7196399911673979
2,UW2,120.84988372656106,-1.7196399911673979
3,UW3,123.32099663593455,-1.7196399911673979
4,UW4,125.79210954530804,-1.7196399911673979
5,UW5,128.2632224546815,-1.7196399911673979
6,UW6,130.73433536405503,-1.7196399911673979
7,UW7,133.2054482734285,-1.7196399911673979
8,UW8,135.676561182802,-1.7196399911673979
9,UW9,138.14767409217546,-1.7196399911673979
10,UW10,140.61878700154898,-1.7196399911673979
11,UW11,143.08989991092244,-1.7196399911673979
12,UW12,145.56101282029596,-1.7196399911673979
13,UW13,148.03212572966942,-1.7196399911673979
14,UW14,150.50323863904293,-1.7196399911673979
15,UW15,152.9743515484164,-1.7196399911673979
16,UW16,155.4454644577899,-1.7196399911673979
17,UW17,157.91657736716337,-1.7196399911673979
18,UW18,160.3876902765369,-1.7196399911673979
19,UW19,162.85880318591035,-1.7196399911673979
20,UW20,165.32991609528386,-1.7196399911673979
21,UW21,167.80102900465732,-1.7196399911673979
22,UW22,170.27214191403084,-1.7196399911673979
23,UW23,172.7432548234043,-1.7196399911673979
24,UW24,175.21436773277782,-1.7196399911673979
25,UW25,177.68548064215128,-1.7196399911673979
26,UW26,180.1565935515248,-1.7196399911673979
27,UW27,182.62770646089825,-1.7196399911673979
28,UW28,185.09881937027177,-1.7196399911673979
29,UW29,187.56993227964523,-1.7196399911673979
30,UW30,190.04104518901875,-1.7196399911673979
31,UW31,192.5121580983922,-1.7196399911673979
32,UW32,194.98327100776572,-1.7196399911673979
33,UW33,197.45438391713918,-1.7196399911673979
34,UW34,199.9254968265127,-1.7196399911673979
35,UW35,202.39660973588616,-1.7196399911673979
36,UW36,204.86772264525968,-1.7196399911673979
37,UW37,207.33883555463314,-1.7196399911673979
38,UW38,209.80994846400665,-1.7196399911673979
39,UW39,212.2810613733801,-1.7196399911673979
40,UW40,214.75217428275363,-1.7196399911673979
41,UW41,217.2232871921271,-1.7196399911673979
42,UW42,219.6944001015006,-1.7196399911673979
43,UW43,222.16551301087407,-1.7196399911673979
44,UW44,224.63662592024758,-1.7196399911673979
45,UW45,227.10773882962104,-1.7196399911673979
46,UW46,229.57885173899456,-1.7196399911673979
47,UW47,232.04996464836802,-1.7196399911673979
48,UW48,234.52107755774153,-1.7196399911673979
49,UW49,236.992190467115,-1.7196399911673979
50,UW50,239.4633033764885,-1.7196399911673979
51,UW51,241.93441628586197,-1.7196399911673979
52,UW52,118.6001646948666,0.08536000883260209
53,UW53,121.07016743600522,0.08536000883260209
54,UW54,123.54017017714384,0.08536000883260209
55,UW55,126.01017291828245,0.08536000883260209
56,UW56,128.48017565942106,0.08536000883260209
57,UW57,130.95017840055968,0.08536000883260209
58,UW58,133.4201811416983,0.08536000883260209
59,UW59,135.8901838828369,0.08536000883260209
60,UW60,138.36018662397552,0.08536000883260209
61,UW61,140.83018936511414,0.08536000883260209
62,UW62,143.30019210625275,0.08536000883260209
63,UW63,145.77019484739137,0.08536000883260209
64,UW64,148.24019758852998,0.08536000883260209
65,UW65,150.7102003296686,0.08536000883260209
66,UW66,153.1802030708072,0.08536000883260209
67,UW67,155.65020581194582,0.08536000883260209
68,UW68,158.12020855308444,0.08536000883260209
69,UW69,160.59021129422305,0.08536000883260209
70,UW70,163.06021403536167,0.08536000883260209
71,UW71,165.53021677650028,0.08536000883260209
72,UW72,168.0002195176389,0.08536000883260209
73,UW73,170.4702222587775,0.08536000883260209
74,UW74,172.94022499991613,0.08536000883260209
75,UW75,175.41022774105474,0.08536000883260209
76,UW76,177.88023048219335,0.08536000883260209
77,UW77,180.35023322333197,0.08536000883260209
78,UW78,182.82023596447058,0.08536000883260209
79,UW79,185.2902387056092,0.08536000883260209
80,UW80,187.7602414467478,0.08536000883260209
81,UW81,190.23024418788643,0.08536000883260209
82,UW82,192.70024692902504,0.08536000883260209
83,UW83,195.17024967016366,0.08536000883260209
84,UW84,197.64025241130227,0.08536000883260209
85,UW85,200.11025515244089,0.08536000883260209
86,UW86,202.5802578935795,0.08536000883260209
87,UW87,205.05026063471811,0.08536000883260209
88,UW88,207.52026337585673,0.08536000883260209
89,UW89,209.99026611699534,0.08536000883260209
90,UW90,212.46026885813396,0.08536000883260209
91,UW91,214.93027159927257,0.08536000883260209
92,UW92,217.4002743404112,0.08536000883260209
93,UW93,219.8702770815498,0.08536000883260209
94,UW94,222.34027982268842,0.08536000883260209
95,UW95,224.81028256382703,0.08536000883260209
96,UW96,227.28028530496564,0.08536000883260209
97,UW97,229.75028804610426,0.08536000883260209
98,UW98,232.22029078724287,0.08536000883260209
99,UW99,234.6902935283815,0.08536000883260209
100,UW100,237.1602962695201,0.08536000883260209
101,UW101,239.63029901065872,0.08536000883260209
102,UW102,242.10030175179733,0.08536000883260209
103,UW103,118.29577393622768,1.890360008832602
104,UW104,120.76711889123166,1.890360008832602
105,UW105,123.23846384623565,1.890360008832602
106,UW106,125.70980880123963,1.890360008832602
107,UW107,128.18115375624362,1.890360008832602
108,UW108,130.6524987112476,1.890360008832602
109,UW109,133.1238436662516,1.890360008832602
110,UW110,135.59518862125557,1.890360008832602
111,UW111,138.06653357625956,1.890360008832602
112,UW112,140.53787853126354,1.890360008832602
113,UW113,143.00922348626753,1.890360008832602
114,UW114,145.48056844127152,1.890360008832602
115,UW115,147.9519133962755,1.890360008832602
116,UW116,150.4232583512795,1.890360008832602
117,UW117,152.89460330628347,1.890360008832602
118,UW118,155.36594826128746,1.890360008832602
119,UW119,157.83729321629144,1.890360008832602
120,UW120,160.30863817129543,1.890360008832602
121,UW121,162.7799831262994,1.890360008832602
122,UW122,165.2513280813034,1.890360008832602
123,UW123,167.72267303630738,1.890360008832602
