serialno,zp
T13110598,27.3563
T13110597,27.1629
83F010612,27.4848
T13090568,27.2597
T13080513,27.4519
T13090562,27.448
T13090565,27.2283
T13090564,27.2489
T13090528,27.1183
83F010692,27.5389
T13090526,27.209
T13100579,27.1441
T13110629,27.1641
T13110628,27.1963
T13110627,27.5051
T13110625,27.154
T13110624,27.1665
T13110623,27.5071
T13110621,27.1549
T13100588,27.4943
T13090570,27.1746
T13090571,27.151
83F010783,27.6281
83F010784,27.4902
83F010820,27.6704
T13100580,26.9363
T13100587,27.1605
T13070498,27.1606
83F010827,27.6469
83F010826,27.6678
T13110630,27.1837
83F010730,27.5066
T13100585,27.4509
T13100584,27.1481
T13100595,27.4529
T13100590,27.5316
T13100591,27.188
T13100592,27.4076
T13100593,27.4408
T13110600,27.1609
T13110605,27.4597
T13070473,27.497
T13090554,27.2295
T13090552,27.1647
T13090553,27.1017
T13030365,27.5346
83F010687,27.6521
T13060460,27.5147
